sat,tothrs,colgpa,verbmath,hsize,hsrank,hsperc,female,white,black,hsizesq,athlete
920,43,2.04,.48387,.1,4,40,1,0,0,.0099999998,Yes
1170,18,4,.82813001,9.4,191,20.319149,0,1,0,88.360001,No
810,14,1.78,.88371998,1.19,42,35.294117,0,1,0,1.4161,Yes
940,40,2.4200001,.80769002,5.71,252,44.133099,0,1,0,32.604099,N
1180,18,2.6099999,.73528999,2.14,86,40.186916,0,1,0,4.5795999,No
980,114,3.03,.81480998,2.68,41,15.298508,1,1,0,7.1824002,No
880,78,1.84,.75999999,3.11,161,51.76849,0,0,0,9.6721001,No
980,55,3.05,.88462001,2.68,101,37.686565,0,1,0,7.1824002,No
1240,18,3,.69862998,3.67,161,43.869209,0,1,0,13.4689,N
1230,17,2,.86364001,.1,3,30,0,1,0,.0099999998,No
1140,78,2.98,.93220001,3.34,95,28.443113,1,1,0,11.1556,No
1150,43,2.9300001,.85483998,3.59,13,3.6211698,1,1,0,12.8881,No
1080,17,2,.80000001,3.18,31,9.7484274,0,1,0,10.1124,yes
990,64,2.21,.67796999,1.92,51,26.5625,1,1,0,3.6863999,No
1000,45,3.3299999,.78570998,3.69,29,7.8590784,1,1,0,13.6161,No
1050,14,1.0700001,.77965999,2.66,134,50.375938,1,1,0,7.0756001,No
1160,41,2.29,.87097001,1.45,99,68.275864,1,1,0,2.1025,No
1190,13,3.1500001,1.125,1.76,74,42.045456,0,1,0,3.0976,no
1030,110,2.6500001,1.1020401,3.86,81,20.984455,1,1,0,14.8996,No
960,106,2.4100001,1,3.83,66,17.232376,0,1,0,14.6689,yes
840,104,2.3900001,.64705998,1.07,7,6.5420561,0,1,0,1.1449,No
920,115,2.6400001,1,2.17,65,29.953917,1,1,0,4.7089,No
840,96,2.1800001,.86667001,2.34,141,60.256409,1,1,0,5.4755998,No
1000,50,2.8399999,.78570998,4.63,133,28.725702,0,1,0,21.436899,no
1150,100,2.8399999,.79688001,5.95,301,50.588234,1,1,0,35.4025,No
1040,112,2.9300001,.96226001,.91,30,32.967033,0,1,0,.82810003,no
970,17,2.29,.79629999,4.36,41,9.4036694,1,1,0,19.0096,no
1200,39,2.3800001,.90476,8.119999999999999,209,25.738916,1,1,0,65.934402,No
1090,118,3.9200001,.75805998,.6,2,3.3333333,1,1,0,.36000001,No
1340,46,2.23,.83561999,3.76,130,34.574467,0,1,0,14.1376,No
740,12,1.33,1.3125,5.32,390,73.308273,1,1,0,28.302401,No
880,85,2.8099999,.75999999,3.8,71,18.68421,0,1,0,14.44,no
820,42,2.0899999,.90697998,2.28,155,67.982452,0,1,0,5.1984,Y
1060,43,2.25,.85965002,5.51,248,45.009075,0,1,0,30.3601,No
730,50,1.9,.78048998,4.82,273,56.639004,0,0,1,23.232401,yes
820,16,3,.86364001,3.9,102,26.153847,1,1,0,15.21,N
780,71,2.4000001,.69564998,.78,17,21.794872,0,1,0,.60839999,Yes
1040,78,2.1600001,1.03922,4.92,92,18.699186,0,1,0,24.2064,No
870,13,2.0699999,1.175,1.86,86,46.236561,1,1,0,3.4596,No
940,19,2.21,1.29268,1.85,41,22.162163,0,1,0,3.4224999,No
980,47,2,.92157,1.52,45,29.605263,0,0,1,2.3104,Yes
1020,103,2.9100001,.96153998,.1,2,20,1,1,0,.0099999998,N
1180,105,3,.87301999,6.37,255,40.031399,0,1,0,40.5769,Yes
1100,72,2.72,1.11538,.12,2,16.666666,0,1,0,.0144,no
1030,18,3.55,1.1020401,2.52,27,10.714286,0,1,0,6.3504,No
960,16,3.25,1.04255,.1,5,50,1,1,0,.0099999998,no
910,15,2.8599999,1.45946,1.27,28,22.047245,0,1,0,1.6129,No
1060,42,2.04,.96296,.13,1,7.6923075,0,1,0,.016899999,no
880,14,1.92,1.3783799,.03,1,33.333332,1,1,0,.00089999998,No
